timestamp_utc,sea_surface_temperature,mean_sea_level_pressure,dewpoint_temperature_2m,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,relative_humidity_850hPa,vorticity_850hPa,sea_surface_temperature_c,temperature_2m_c,dewpoint_temperature_2m_c,mean_sea_level_pressure_hpa,wind_speed_10m_ms
2024-05-24 10:00:00,304.4061584472656,99848.2734375,298.67303466796875,304.50592041015625,1.2981526851654053,3.0206644535064697,74.50244903564453,1.8024209566647187e-05,31.256158447265648,31.355920410156273,25.523034667968773,998.482734375,3.287797763652699
2024-05-24 11:00:00,304.4061584472656,99871.921875,298.6850891113281,304.38189697265625,1.2758545875549316,3.1637063026428223,74.7458724975586,1.8498545614420436e-05,31.256158447265648,31.231896972656273,25.535089111328148,998.71921875,3.411281650343003
2024-05-24 12:00:00,304.4061584472656,99902.8984375,298.7120361328125,304.3382873535156,1.3007323741912842,3.305940628051758,75.16094207763672,1.879534829640761e-05,31.256158447265648,31.188287353515648,25.562036132812523,999.028984375,3.5526255284609642
2024-05-24 13:00:00,304.4061584472656,99949.203125,298.8077392578125,304.27056884765625,1.3755346536636353,3.4459705352783203,75.47833251953125,1.8669830751605332e-05,31.256158447265648,31.120568847656273,25.657739257812523,999.49203125,3.7103650108090296
2024-05-24 14:00:00,304.4061584472656,100018.296875,298.9356384277344,303.6460876464844,1.471091628074646,3.518627166748047,75.75379943847656,1.8637520042830147e-05,31.256158447265648,30.496087646484398,25.785638427734398,1000.18296875,3.8137708002407145
2024-05-24 15:00:00,304.4061584472656,100087.34375,298.89337158203125,302.91168212890625,1.591244101524353,3.5564138889312744,76.14423370361328,1.8793667550198734e-05,31.256158447265648,29.761682128906273,25.743371582031273,1000.8734375,3.8961695984671043
2024-05-24 16:00:00,304.4061584472656,100129.1796875,298.9209289550781,302.8545227050781,1.6963987350463867,3.5638790130615234,76.59203338623047,1.915113716677297e-05,31.256158447265648,29.704522705078148,25.770928955078148,1001.291796875,3.947024485356958
2024-05-24 17:00:00,304.4061584472656,100128.03125,298.9142761230469,302.447998046875,1.8052328824996948,3.531191349029541,76.9576644897461,1.965728370123543e-05,31.256158447265648,29.297998046875023,25.764276123046898,1001.2803125,3.965876713101307
2024-05-24 18:00:00,304.4061584472656,100097.3125,298.8924865722656,302.2215576171875,1.8883494138717651,3.4622929096221924,77.48623657226562,1.966243507922627e-05,31.256158447265648,29.071557617187523,25.742486572265648,1000.973125,3.9437717607501
2024-05-24 19:00:00,304.4062194824219,100049.3828125,298.9149169921875,302.12054443359375,2.031524896621704,3.339534282684326,78.15589904785156,1.9132427041768096e-05,31.256219482421898,28.970544433593773,25.764916992187523,1000.493828125,3.9089106706111543
2024-05-24 20:00:00,304.4062194824219,99991.578125,298.88031005859375,301.7667541503906,2.206385612487793,3.1897051334381104,79.05699920654297,1.942544440680649e-05,31.256219482421898,28.616754150390648,25.730310058593773,999.91578125,3.878447667466272
2024-05-24 21:00:00,304.40618896484375,99955.0,298.8794860839844,301.6392517089844,2.337362289428711,2.9884517192840576,75.06324768066406,1.615166365809273e-05,31.256188964843773,28.489251708984398,25.729486083984398,999.55,3.793956529868953
2024-05-24 22:00:00,304.40618896484375,99917.8984375,298.9256896972656,301.6290588378906,2.0476646423339844,2.8994040489196777,74.35296630859375,1.9412163965171203e-05,31.256188964843773,28.479058837890648,25.775689697265648,999.178984375,3.5495738232013974
2024-05-24 23:00:00,304.40618896484375,99921.109375,298.91729736328125,301.5731506347656,1.9754831790924072,2.991539716720581,75.43142700195312,1.9158296709065326e-05,31.256188964843773,28.423150634765648,25.767297363281273,999.21109375,3.584946815169466
2024-05-25 00:00:00,304.40618896484375,99964.625,298.99566650390625,302.0788269042969,1.9298715591430664,3.09391188621521,76.28714752197266,1.959611108759418e-05,31.256188964843773,28.928826904296898,25.845666503906273,999.64625,3.646463354327457
2024-05-25 01:00:00,304.40618896484375,100018.40625,298.9928283691406,302.1601867675781,1.8570648431777954,3.165377616882324,76.82719421386719,2.0255689378245734e-05,31.256188964843773,29.010186767578148,25.842828369140648,1000.1840625,3.6699189758394657
2024-05-25 02:00:00,304.40618896484375,100045.953125,299.05572509765625,303.01092529296875,1.7817051410675049,3.251927614212036,77.18243408203125,2.0919693270116113e-05,31.256188964843773,29.860925292968773,25.905725097656273,1000.45953125,3.708032688337734
2024-05-25 03:00:00,304.40618896484375,100075.578125,298.9791564941406,303.1429748535156,1.7723397016525269,3.3921995162963867,77.54663848876953,2.1129231754457578e-05,31.256188964843773,29.992974853515648,25.829156494140648,1000.75578125,3.827297424608546
2024-05-25 04:00:00,304.40618896484375,100083.109375,298.958251953125,303.2763977050781,1.7632228136062622,3.420973539352417,78.67737579345703,2.163601493521128e-05,31.256188964843773,30.126397705078148,25.808251953125023,1000.83109375,3.84863802498637
2024-05-25 05:00:00,304.4061584472656,100071.8671875,298.91729736328125,304.04217529296875,1.820217251777649,3.4557859897613525,79.79338073730469,2.1802699848194607e-05,31.256158447265648,30.892175292968773,25.767297363281273,1000.718671875,3.9058478785917696
2024-05-25 06:00:00,304.4061584472656,100051.71875,298.7433166503906,304.5643310546875,1.922147274017334,3.4949464797973633,80.0855941772461,2.1655794625985436e-05,31.256158447265648,31.414331054687523,25.593316650390648,1000.5171875,3.9886465172612438
2024-05-25 07:00:00,304.4061584472656,99986.2265625,298.682373046875,304.5948791503906,2.077728509902954,3.5323586463928223,80.00567626953125,2.0900466552120633e-05,31.256158447265648,31.444879150390648,25.532373046875023,999.862265625,4.0981109511102405
2024-05-25 08:00:00,304.4061584472656,99907.4296875,298.6590270996094,304.75701904296875,2.205930233001709,3.4657297134399414,80.13227844238281,2.085184860334266e-05,31.256158447265648,31.607019042968773,25.509027099609398,999.074296875,4.1082125845057575
2024-05-25 09:00:00,304.4061584472656,99844.484375,298.78125,304.7716369628906,2.282308578491211,3.433964490890503,80.13304138183594,2.1164052668609656e-05,31.256158447265648,31.621636962890648,25.631250000000023,998.44484375,4.123232296651675
2024-05-25 10:00:00,304.4061584472656,99775.046875,298.8300476074219,304.2382507324219,2.192622661590576,2.952650785446167,74.99604034423828,2.1026036847615615e-05,31.256158447265648,31.088250732421898,25.680047607421898,997.75046875,3.6777358247862786
2024-05-25 11:00:00,304.4061584472656,99817.1171875,298.8197326660156,304.1291198730469,2.096649646759033,3.1493022441864014,75.56071472167969,2.1168700186535716e-05,31.256158447265648,30.979119873046898,25.669732666015648,998.171171875,3.7833905913204737
2024-05-25 12:00:00,304.4061584472656,99838.5078125,298.8294982910156,304.0638122558594,2.0707931518554688,3.401358127593994,75.95021057128906,2.152737943106331e-05,31.256158447265648,30.913812255859398,25.679498291015648,998.385078125,3.982137791428271
