timestamp_utc,sea_surface_temperature,mean_sea_level_pressure,dewpoint_temperature_2m,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,relative_humidity_850hPa,vorticity_850hPa,sea_surface_temperature_c,temperature_2m_c,dewpoint_temperature_2m_c,mean_sea_level_pressure_hpa,wind_speed_10m_ms,gpm_mean_precip_mm_hr,gpm_max_precip_mm_hr,SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY
2024-05-24 00:00:00+00:00,304.4061889648437,100103.484375,298.6903991699219,301.6685791015625,0.7500869035720825,2.1051387786865234,75.06324768066406,1.615166365809273e-05,31.256188964843773,28.518579101562523,25.540399169921898,1001.03484375,2.234779550747711,1.0051429271697998,47.459999084472656,2024145N14087,2024,NI,BB,REMAL,2024-05-24 00:00:00+00:00,MX,15.2,88.6,25.0,996.0,newdelhi
2024-05-24 01:00:00+00:00,304.4061889648437,100165.359375,298.77520751953125,301.7950439453125,0.679745614528656,2.206535816192627,75.44830322265625,1.5890665963524953e-05,31.256188964843773,28.645043945312523,25.625207519531276,1001.65359375,2.308864311433611,1.1853665113449097,47.5099983215332,2024145N14087,2024,NI,BB,REMAL,2024-05-24 00:00:00+00:00,MX,15.2,88.6,25.0,996.0,newdelhi
2024-05-24 02:00:00+00:00,304.4061889648437,100198.5625,298.821044921875,302.7765197753906,0.6266083717346191,2.4154164791107178,75.86006927490234,1.605668330739718e-05,31.256188964843773,29.626519775390648,25.671044921875023,1001.985625,2.4953706776925,1.1844576597213743,50.68000030517578,2024145N14087,2024,NI,BB,REMAL,2024-05-24 03:00:00+00:00,MX,15.5,89.0,25.0,996.0,newdelhi
2024-05-24 03:00:00+00:00,304.4061889648437,100230.96875,298.7314758300781,302.95782470703125,0.6110201478004456,2.6333370208740234,76.20958709716797,1.656799577176571e-05,31.256188964843773,29.807824707031276,25.581475830078148,1002.3096875,2.703296041228884,1.2325519323349,50.59000015258789,2024145N14087,2024,NI,BB,REMAL,2024-05-24 03:00:00+00:00,MX,15.5,89.0,25.0,996.0,newdelhi
2024-05-24 04:00:00+00:00,304.4061889648437,100229.6875,298.704833984375,303.1462707519531,0.69112628698349,2.763056516647339,77.35102081298828,1.6974327081697993e-05,31.256188964843773,29.996270751953148,25.554833984375023,1002.296875,2.848181324766194,1.2775133848190308,50.73999786376953,2024145N14087,2024,NI,BB,REMAL,2024-05-24 03:00:00+00:00,MX,15.5,89.0,25.0,996.0,newdelhi
2024-05-24 05:00:00+00:00,304.4061584472656,100201.0390625,298.73370361328125,304.067138671875,0.8175687193870544,2.8415536880493164,78.84921264648438,1.7124988517025486e-05,31.256158447265648,30.917138671875023,25.583703613281276,1002.010390625,2.956830393003099,1.2618839740753174,50.96999740600586,2024145N14087,2024,NI,BB,REMAL,2024-05-24 06:00:00+00:00,MX,15.9,89.3,25.0,996.0,newdelhi
2024-05-24 06:00:00+00:00,304.4061584472656,100147.9140625,298.6144104003906,304.5149841308594,0.9888920187950134,2.85652756690979,79.3009262084961,1.6640469766571186e-05,31.256158447265648,31.3649841308594,25.464410400390648,1001.479140625,3.022855796321095,1.2575781345367432,55.68999862670898,2024145N14087,2024,NI,BB,REMAL,2024-05-24 06:00:00+00:00,MX,15.9,89.3,25.0,996.0,newdelhi
2024-05-24 07:00:00+00:00,304.4061584472656,100078.375,298.5908508300781,304.5914001464844,1.1776655912399292,2.831308126449585,79.3974838256836,1.6800315279397182e-05,31.256158447265648,31.4414001464844,25.440850830078148,1000.78375,3.0664640796347102,1.137012004852295,60.06999969482422,2024145N14087,2024,NI,BB,REMAL,2024-05-24 06:00:00+00:00,MX,15.9,89.3,25.0,996.0,newdelhi
2024-05-24 08:00:00+00:00,304.4061584472656,99985.1953125,298.4711303710937,304.96099853515625,1.3001877069473269,2.8194706439971924,75.06324768066406,1.615166365809273e-05,31.256158447265648,31.810998535156276,25.321130371093773,999.851953125,3.104819283897034,1.133703589439392,61.18000030517578,2024145N14087,2024,NI,BB,REMAL,2024-05-24 09:00:00+00:00,MX,16.1,89.4,,, 
2024-05-24 09:00:00+00:00,304.4061584472656,99927.65625,298.4877319335937,304.98193359375,1.4124544858932495,2.7645838260650635,79.4515380859375,1.7653848772170022e-05,31.256158447265648,31.831933593750023,25.337731933593773,999.2765625,3.104505017882965,1.2623497247695925,61.18999862670898,2024145N14087,2024,NI,BB,REMAL,2024-05-24 09:00:00+00:00,MX,16.1,89.4,,, 
