timestamp_utc,gpm_mean_precip_mm_hr,gpm_max_precip_mm_hr
2024-05-24 00:00:00,1.0051429271697998,47.459999084472656
2024-05-24 00:30:00,1.0666756629943848,46.70000076293945
2024-05-24 01:00:00,1.1853665113449097,47.5099983215332
2024-05-24 01:30:00,1.208229899406433,44.73999786376953
2024-05-24 02:00:00,1.1844576597213745,50.68000030517578
2024-05-24 02:30:00,1.2091879844665527,50.62999725341797
2024-05-24 03:00:00,1.2325519323349,50.59000015258789
2024-05-24 03:30:00,1.2974454164505005,50.77000045776367
2024-05-24 04:00:00,1.2775133848190308,50.73999786376953
2024-05-24 04:30:00,1.265247106552124,50.62999725341797
2024-05-24 05:00:00,1.2618839740753174,50.96999740600586
2024-05-24 05:30:00,1.2128355503082275,50.81999969482422
2024-05-24 06:00:00,1.2575781345367432,55.689998626708984
2024-05-24 06:30:00,1.1352375745773315,55.529998779296875
2024-05-24 07:00:00,1.137012004852295,60.06999969482422
2024-05-24 07:30:00,1.1122840642929077,61.279998779296875
2024-05-24 08:00:00,1.133703589439392,61.18000030517578
2024-05-24 08:30:00,1.1989580392837524,61.13999938964844
2024-05-24 09:00:00,1.2623497247695923,61.189998626708984
2024-05-24 09:30:00,1.2263721227645874,61.03999710083008
2024-05-24 10:00:00,1.316537857055664,61.39999771118164
2024-05-24 10:30:00,1.3559845685958862,61.349998474121094
2024-05-24 11:00:00,1.4224953651428223,61.15999984741211
2024-05-24 11:30:00,1.3867971897125244,62.189998626708984
2024-05-24 12:00:00,1.37594473361969,62.23999786376953
2024-05-24 12:30:00,1.4056185483932495,61.869998931884766
2024-05-24 13:00:00,1.4513903856277466,64.55999755859375
2024-05-24 13:30:00,1.4260934591293335,55.709999084472656
2024-05-24 14:00:00,1.5083339214324951,55.77000045776367
2024-05-24 14:30:00,1.3650754690170288,50.65999984741211
2024-05-24 15:00:00,1.3549654483795166,54.15999984741211
2024-05-24 15:30:00,1.3482686281204224,53.87999725341797
2024-05-24 16:00:00,1.561726450920105,56.529998779296875
2024-05-24 16:30:00,1.5279889106750488,56.59000015258789
2024-05-24 17:00:00,1.6764850616455078,47.439998626708984
2024-05-24 17:30:00,1.7126563787460327,54.41999816894531
2024-05-24 18:00:00,1.699372410774231,49.59000015258789
2024-05-24 18:30:00,1.578563928604126,52.63999938964844
2024-05-24 19:00:00,1.2805519104003906,49.56999969482422
2024-05-24 19:30:00,1.3472203016281128,51.849998474121094
2024-05-24 20:00:00,1.3212199211120605,63.6099967956543
2024-05-24 20:30:00,1.7377591133117676,63.78999710083008
2024-05-24 21:00:00,1.8631281852722168,64.01000213623047
2024-05-24 21:30:00,1.941981315612793,56.31999969482422
2024-05-24 22:00:00,1.5723496675491333,61.56999969482422
2024-05-24 22:30:00,1.779559850692749,55.48999786376953
2024-05-24 23:00:00,1.896308422088623,55.52000045776367
2024-05-24 23:30:00,2.0123395919799805,60.78999710083008
2024-05-25 00:00:00,2.1171822547912598,62.55999755859375
2024-05-25 00:30:00,2.2603909969329834,62.97999954223633
2024-05-25 01:00:00,2.4364495277404785,63.21999740600586
2024-05-25 01:30:00,2.5375680923461914,70.97999572753906
2024-05-25 02:00:00,2.2594149112701416,63.6099967956543
2024-05-25 02:30:00,2.2767984867095947,63.54999923706055
2024-05-25 03:00:00,2.129547595977783,63.34000015258789
2024-05-25 03:30:00,2.072812557220459,66.95999908447266
2024-05-25 04:00:00,2.0164949893951416,67.04000091552734
2024-05-25 04:30:00,2.0058043003082275,66.95999908447266
2024-05-25 05:00:00,2.0977253913879395,67.0
2024-05-25 05:30:00,2.091670036315918,68.79999542236328
2024-05-25 06:00:00,2.0744824409484863,68.88999938964844
2024-05-25 06:30:00,2.130986213684082,68.79999542236328
2024-05-25 07:00:00,2.0188677310943604,68.54999542236328
2024-05-25 07:30:00,1.8559430837631226,68.6500015258789
2024-05-25 08:00:00,1.75106942653656,68.5199966430664
2024-05-25 08:30:00,1.7116138935089111,66.73999786376953
2024-05-25 09:00:00,1.7866342067718506,64.72999572753906
2024-05-25 09:30:00,1.6985827684402466,67.61000061035156
2024-05-25 10:00:00,1.6684623956680298,67.33000183105469
2024-05-25 10:30:00,1.6364578008651733,67.2699966430664
2024-05-25 11:00:00,1.672174334526062,67.2699966430664
2024-05-25 11:30:00,1.6619067192077637,65.01000213623047
2024-05-25 12:00:00,1.673105001449585,64.81999969482422
2024-05-25 12:30:00,1.5917783975601196,64.77999877929688
2024-05-25 13:00:00,1.5818785429000854,64.88999938964844
2024-05-25 13:30:00,1.5753473043441772,64.70999908447266
2024-05-25 14:00:00,1.5232573747634888,63.89999771118164
2024-05-25 14:30:00,1.4695117473602295,60.099998474121094
2024-05-25 15:00:00,1.4022507667541504,59.84000015258789
2024-05-25 15:30:00,1.4179192781448364,56.599998474121094
2024-05-25 16:00:00,1.44548761844635,56.529998779296875
2024-05-25 16:30:00,1.5207260847091675,57.38999938964844
2024-05-25 17:00:00,1.5488189458847046,56.439998626708984
2024-05-25 17:30:00,1.5924328565597534,57.16999816894531
2024-05-25 18:00:00,1.6866825819015503,57.09000015258789
2024-05-25 18:30:00,1.6470856666564941,56.91999816894531
2024-05-25 19:00:00,1.5271769762039185,56.90999984741211
2024-05-25 19:30:00,1.3358747959136963,58.59000015258789
2024-05-25 20:00:00,1.314013123512268,56.89999771118164
2024-05-25 20:30:00,1.1968003511428833,58.63999938964844
2024-05-25 21:00:00,1.396540641784668,59.02000045776367
2024-05-25 21:30:00,1.489950180053711,50.15999984741211
2024-05-25 22:00:00,1.5552089214324951,50.77000045776367
2024-05-25 22:30:00,1.5795762538909912,55.72999954223633
2024-05-25 23:00:00,1.6384865045547485,52.279998779296875
2024-05-25 23:30:00,1.6953309774398804,52.13999938964844
2024-05-26 00:00:00,1.681259274482727,52.09000015258789
2024-05-26 00:30:00,1.6869752407073975,52.0099983215332
2024-05-26 01:00:00,1.6264582872390747,55.439998626708984
2024-05-26 01:30:00,1.5528916120529175,49.79999923706055
2024-05-26 02:00:00,1.5382537841796875,49.779998779296875
2024-05-26 02:30:00,1.561863660812378,49.869998931884766
2024-05-26 03:00:00,1.4576610326766968,49.71999740600586
2024-05-26 03:30:00,1.4496452808380127,49.40999984741211
2024-05-26 04:00:00,1.3937389850616455,50.32999801635742
2024-05-26 04:30:00,1.337304711341858,50.29999923706055
2024-05-26 05:00:00,1.3485463857650757,50.57999801635742
2024-05-26 05:30:00,1.3356409072875977,50.369998931884766
