insat_file,insat_timestamp_utc,gpm_timestamp_utc,era5_timestamp_utc,gpm_difference_minutes,era5_difference_minutes,gpm_gpm_mean_precip_mm_hr,gpm_gpm_max_precip_mm_hr,era5_sea_surface_temperature,era5_mean_sea_level_pressure,era5_dewpoint_temperature_2m,era5_temperature_2m,era5_u_component_of_wind_10m,era5_v_component_of_wind_10m,era5_relative_humidity_850hPa,era5_vorticity_850hPa,era5_sea_surface_temperature_c,era5_temperature_2m_c,era5_dewpoint_temperature_2m_c,era5_mean_sea_level_pressure_hpa,era5_wind_speed_10m_ms,ibtracs_SID,ibtracs_SEASON,ibtracs_BASIN,ibtracs_SUBBASIN,ibtracs_NAME,ibtracs_timestamp_utc,ibtracs_NATURE,ibtracs_LAT,ibtracs_LON,ibtracs_WMO_WIND,ibtracs_WMO_PRES,ibtracs_WMO_AGENCY,ibtracs_difference_minutes
insat_24may2024_0015_roi_epsg4326_6ch.tif,2024-05-24 00:15:00+00:00,2024-05-24 00:00:00+00:00,2024-05-24 00:00:00+00:00,15.0,15.0,1.0051429271697998,47.459999084472656,304.4061889648437,100103.484375,298.6903991699219,301.6685791015625,0.7500869035720825,2.1051387786865234,75.06324768066406,1.615166365809273e-05,31.256188964843773,28.518579101562523,25.540399169921898,1001.03484375,2.234779550747711,2024145N14087,2024,NI,BB,REMAL,2024-05-24 00:00:00+00:00,MX,15.2,88.6,25.0,996.0,newdelhi,15.0
insat_24may2024_0045_roi_epsg4326_6ch.tif,2024-05-24 00:45:00+00:00,2024-05-24 00:30:00+00:00,2024-05-24 01:00:00+00:00,15.0,15.0,1.0666756629943848,46.70000076293945,304.4061889648437,100165.359375,298.77520751953125,301.7950439453125,0.679745614528656,2.206535816192627,75.44830322265625,1.5890665963524953e-05,31.256188964843773,28.645043945312523,25.625207519531276,1001.65359375,2.308864311433611,2024145N14087,2024,NI,BB,REMAL,2024-05-24 00:00:00+00:00,MX,15.2,88.6,25.0,996.0,newdelhi,45.0
insat_24may2024_0115_roi_epsg4326_6ch.tif,2024-05-24 01:15:00+00:00,2024-05-24 01:00:00+00:00,2024-05-24 01:00:00+00:00,15.0,15.0,1.1853665113449097,47.5099983215332,304.4061889648437,100165.359375,298.77520751953125,301.7950439453125,0.679745614528656,2.206535816192627,75.44830322265625,1.5890665963524953e-05,31.256188964843773,28.645043945312523,25.625207519531276,1001.65359375,2.308864311433611,2024145N14087,2024,NI,BB,REMAL,2024-05-24 00:00:00+00:00,MX,15.2,88.6,25.0,996.0,newdelhi,75.0
insat_24may2024_0145_roi_epsg4326_6ch.tif,2024-05-24 01:45:00+00:00,2024-05-24 01:30:00+00:00,2024-05-24 02:00:00+00:00,15.0,15.0,1.208229899406433,44.73999786376953,304.4061889648437,100198.5625,298.821044921875,302.7765197753906,0.6266083717346191,2.4154164791107178,75.86006927490234,1.605668330739718e-05,31.256188964843773,29.626519775390648,25.671044921875023,1001.985625,2.4953706776925,2024145N14087,2024,NI,BB,REMAL,2024-05-24 03:00:00+00:00,MX,15.5,89.0,25.0,996.0,newdelhi,75.0
insat_24may2024_0215_roi_epsg4326_6ch.tif,2024-05-24 02:15:00+00:00,2024-05-24 02:00:00+00:00,2024-05-24 02:00:00+00:00,15.0,15.0,1.1844576597213743,50.68000030517578,304.4061889648437,100198.5625,298.821044921875,302.7765197753906,0.6266083717346191,2.4154164791107178,75.86006927490234,1.605668330739718e-05,31.256188964843773,29.626519775390648,25.671044921875023,1001.985625,2.4953706776925,2024145N14087,2024,NI,BB,REMAL,2024-05-24 03:00:00+00:00,MX,15.5,89.0,25.0,996.0,newdelhi,45.0
